num_samples_original,num_features_original,num_samples_after_preprocessing,num_features_after_preprocessing,num_classes,binary_features,categorical_features,numeric_features,class_imbalance,variance_explained,avg_feature_correlation,max_correlation,intrinsic_dimensionality,pca_variance,outlier_fraction,linear_performance,nonlinear_performance,tree_performance
898,38,898,38,5,7,25,6,0.976878612716763,0.4457537910180766,0.0359575213679462,0.7954042308145995,5.875686931915199,1.0,0.0155608955573789,0.9239933496750471,0.6001693871166526,0.9501935741221436
3196,36,3196,36,2,35,1,0,0.04443053817271588,0.3768194584250236,0.0379826287884038,0.6595295378023552,9.99078207844274,24.0,0.0118811709080795,0.9489894404801434,0.7696654979957464,0.9724415894135504
57,16,57,16,2,3,5,8,0.29824561403508776,0.6232638757760303,0.0742678914105643,0.654592038776665,13.431049732363707,11.0,0.0054824561403508,0.8162492256339006,0.8846806023711983,0.7851645020480834
452,279,452,279,13,66,9,204,0.9838056680161943,0.3631806955246113,0.0398028869615182,1.0000000000000002,39.26959169636012,38.0,0.0121086687601103,0.9144618641441058,0.8175707360997982,0.863764396919359
20000,16,20000,16,26,0,0,16,0.051066580478345176,0.6964221863827467,0.086944620401471,0.8527926215631488,9.7694870507485,12.0,0.0065375,0.5170021659421294,0.7503217953236305,0.8277419300013119
205,25,205,25,6,4,6,15,0.9142857142857143,0.5283675103623684,0.0722301932337507,0.9694567265344172,6.811208005577019,1.0,0.0257994579945799,0.7185862392891195,0.42638441301138813,0.6681642178890304
148,18,148,18,4,9,6,3,0.9518072289156626,0.5844457397186217,0.078053128676403,0.5914969158292407,14.517798797794436,11.0,0.0075075075075075,0.89352178032258,0.8787579794136317,0.9019665951002929
625,4,625,4,3,0,0,4,0.7091988130563799,1.0000000000000002,0.0321126981829457,0.3555889892287115,4.0,4.0,0.0,0.7395343431017999,0.770872575006926,0.8021494335537631
2000,216,2000,216,10,0,0,216,0.0,0.6003570698988067,0.1112764660011093,1.0,15.130280701793628,12.0,0.0017037037037037,0.9786986870007786,0.9271839660971115,0.9509842110952681
286,9,286,9,2,3,6,0,0.4055944055944056,0.4574470310078637,0.0352964201572542,0.7226979167992162,8.386980679319509,10.0,0.0154582259845417,0.5674714216840435,0.5961009257100233,0.660842922962868
2000,76,2000,76,10,0,0,76,0.0,0.3073178528127766,0.0572537911293203,0.5477615921204366,21.49475293366469,50.0,0.0047960526315789,0.7740322811017822,0.7946437892202153,0.8044864624277989
699,9,699,9,2,0,0,9,0.3104434907010014,0.8893918939062624,0.2657637260481103,0.9057802350267588,9.0,7.0,0.0098553489111429,0.9391702639391513,0.9606147991694706,0.9688209061052788
2000,64,2000,64,10,0,0,64,0.0,0.2946721755270077,0.0488027183569072,0.5043465458930922,22.7192249438571,36.0,0.0025625,0.926966120436813,0.9400278792851334,0.9416642368052347
2000,6,2000,6,10,0,0,6,0.0,0.997670011169508,0.2507751021854548,0.9506435549274996,5.805178624955465,1.0,0.00075,0.5442016872452915,0.4027114653079676,0.7127677092515814
2000,240,2000,240,10,0,240,0,0.0,0.4298276535306032,0.0764358205866584,0.9235150484957472,21.46742602125524,88.0,0.0010354166666666,0.935346946234224,0.926038445358369,0.956636250709434
2000,47,2000,47,10,0,0,47,0.0,0.6537601961727411,0.1114405781110455,0.9978422697825948,14.79710828205878,13.0,0.0076170212765957,0.7946360017607477,0.7805143480011235,0.7578009749790446
1473,9,1473,9,3,3,4,2,0.30769230769230765,0.7839273380281843,0.0786945066755617,0.6157784054648964,8.015219796165532,2.0,0.0095798446103945,0.46419174535123336,0.5047628459074809,0.5279939050285721
8124,22,8124,22,2,5,17,0,0.03594288527818811,0.4926315026272887,0.0483614267961163,0.9198529099457704,5.260151910798568,12.0,0.0147218119153126,0.9689939675641522,0.8950313103984443,0.9963812259360022
368,26,368,26,2,4,15,7,0.32608695652173914,0.2972530337741442,0.0167169095536152,0.6846882458828583,16.561130782558596,4.0,0.0109007996001999,0.73485368911641,0.694251290678884,0.8327253322102578
12960,8,12960,8,5,1,7,0,0.999074502545118,0.6173410780199788,0.0034496296311516,0.1025355075570745,8.0,7.0,0.0,0.6120749598899785,0.8501338621055817,0.947802251846647
368,22,368,22,2,2,13,7,0.26086956521739124,0.4455634096439436,0.0514479883600616,0.4629462265801533,17.60003835919685,4.0,0.011240118577075,0.7538650093219031,0.7286317686372911,0.8442530601666928
5620,64,5620,64,10,3,0,61,0.015985790408525765,0.4650193467110142,0.0611780366386115,0.9267044952697324,17.140980811238883,29.0,0.0068727758007117,0.9453524960028655,0.9331066026909253,0.9634412721278275
690,15,690,15,2,4,5,6,0.11014492753623192,0.3776887112930023,0.0338760333489507,0.9275702702158708,10.087763133053194,1.0,0.0316156736446591,0.8323895055595057,0.6437251552180262,0.8659953953231695
5473,10,5473,10,5,0,0,10,0.9886662618903056,0.9490915498623436,0.1713881091205678,0.953321984750594,6.848012645618831,2.0,0.014763383884524,0.8052335323060404,0.5376906186462327,0.9334173679430756
1000,20,1000,20,2,3,11,6,0.4,0.3310445336255302,0.0293020502694559,0.6301677332476067,16.15859197244951,1.0,0.0114482758620689,0.6194143063907509,0.5675762049748437,0.6886131470215865
10992,16,10992,16,10,0,0,16,0.04047294224647571,0.8003296294318867,0.1273032498400305,0.8574803832661821,10.165178543429446,9.0,0.0015522652838427,0.8788365470287998,0.9227680124293561,0.9638678165849018
90,8,90,8,3,2,6,0,0.9393939393939394,0.760924157854111,0.0450748754345895,0.2450632754910419,8.0,7.0,0.0125,0.5526590696785204,0.5280951253886889,0.5015487019414477
366,34,366,34,6,1,32,1,0.6969696969696969,0.6404864447207349,0.1114496080688629,0.949014992953364,15.337493447926509,3.0,0.011491481838637,0.9628259640942102,0.9393692809853286,0.9730801485702699
2310,19,2310,19,7,0,0,19,0.0,0.7975253529434831,0.1253148434588206,0.9986420908105956,6.977500433134559,4.0,0.0056277056277056,0.8586618287154649,0.8402295959823919,0.9401216767213461
768,8,768,8,2,0,0,8,0.3020833333333333,0.817299923769867,0.0758332889376094,0.5483476212941928,8.0,2.0,0.01513671875,0.6780316552226228,0.7250207755132051,0.7256277578040633
3772,29,3772,29,2,20,3,6,0.8775185577942737,0.4460423252900226,0.0300595179394549,0.99717651930184,8.161957735183622,4.0,0.020313014224595,0.8411229383205194,0.7511068455617558,0.9109280728841259
336,7,336,7,8,2,0,5,0.9724137931034482,0.9808695634200836,0.0510170078012329,0.8502149288551565,7.0,5.0,0.0063775510204081,0.7944444287126808,0.865350807843618,0.8771684797125673
208,60,208,60,2,0,0,60,0.06730769230769228,0.5664685889689685,0.1120039205395356,0.926206717971563,16.818048155608587,17.0,0.0089743589743589,0.7511718926933124,0.7451115997489306,0.8167908819655838
214,9,214,9,6,0,0,9,0.788235294117647,0.9027772977459316,0.1084280525122199,0.7913999689273138,8.175933689283017,5.0,0.0171339563862928,0.6880233991601988,0.5027261146693229,0.7554437453178352
683,35,683,35,19,16,19,0,0.84,0.5611153552352652,0.0967417744787104,0.9510378574329512,6.780734188775629,19.0,0.0081572892700271,0.9282381400031232,0.9355954623564543,0.9511490795322658
306,3,306,3,2,0,1,2,0.47058823529411764,0.4650161193402199,0.0319057244960518,0.1116156513096724,2.941488334958964,2.0,0.0613373554550025,0.5523471281069607,0.6227154992899083,0.629344263259156
4601,57,4601,57,2,0,0,57,0.2119104542490763,0.3168817850677429,0.0322910151220059,0.8010721679894632,9.660675918084342,2.0,0.0157631636143172,0.8922960664863994,0.6837307816079347,0.9283933206386527
3190,60,3190,60,3,0,60,0,0.3666391412056152,0.1317254309529704,0.0111312821621849,0.1360282376742557,35.15963250164704,55.0,0.0,0.7613791143280252,0.7768067531837713,0.9318045569593952
151,5,151,5,3,2,0,3,0.029702970297029733,1.0,0.0710836397291233,0.312513950222477,4.126694665349858,3.0,0.0,0.4464826897995445,0.4491762276193334,0.4789066753945382
