source,name,num_samples_original,num_features_original,num_samples_after_preprocessing,num_features_after_preprocessing,num_classes,class_distribution,feature_types,linear_models_pa_classifier_f1_macro_mean,linear_models_pa_classifier_f1_macro_std,linear_models_pa_classifier_precision_macro_mean,linear_models_pa_classifier_precision_macro_std,linear_models_pa_classifier_recall_macro_mean,linear_models_pa_classifier_recall_macro_std,linear_models_ridge_classifier_f1_macro_mean,linear_models_ridge_classifier_f1_macro_std,linear_models_ridge_classifier_precision_macro_mean,linear_models_ridge_classifier_precision_macro_std,linear_models_ridge_classifier_recall_macro_mean,linear_models_ridge_classifier_recall_macro_std,nonlinear_models_gnb_classifier_f1_macro_mean,nonlinear_models_gnb_classifier_f1_macro_std,nonlinear_models_gnb_classifier_precision_macro_mean,nonlinear_models_gnb_classifier_precision_macro_std,nonlinear_models_gnb_classifier_recall_macro_mean,nonlinear_models_gnb_classifier_recall_macro_std,nonlinear_models_rbf_svc_f1_macro_mean,nonlinear_models_rbf_svc_f1_macro_std,nonlinear_models_rbf_svc_precision_macro_mean,nonlinear_models_rbf_svc_precision_macro_std,nonlinear_models_rbf_svc_recall_macro_mean,nonlinear_models_rbf_svc_recall_macro_std,tree_models_catboost_f1_macro_mean,tree_models_catboost_f1_macro_std,tree_models_catboost_precision_macro_mean,tree_models_catboost_precision_macro_std,tree_models_catboost_recall_macro_mean,tree_models_catboost_recall_macro_std,tree_models_extra_trees_f1_macro_mean,tree_models_extra_trees_f1_macro_std,tree_models_extra_trees_precision_macro_mean,tree_models_extra_trees_precision_macro_std,tree_models_extra_trees_recall_macro_mean,tree_models_extra_trees_recall_macro_std,variance_explained_5_components,avg_feature_correlation,max_correlation,intrinsic_dimensionality,pca_variance,outlier_fraction
openml,anneal,898,38,898,38,5,"{'3': 684, 'U': 40, '1': 8, '5': 67, '2': 99}","{'binary': 7, 'categorical': 25, 'numeric': 6}",0.9517312075982854,0.009398688319995725,0.9430093409751249,0.008489068226417413,0.9622239833890888,0.01167411572119046,0.890017235175448,0.014523472693084375,0.8694943150705727,0.013621744582992118,0.9274840158417635,0.01117710575307596,0.4856013733896118,0.009487895100505449,0.6408913793985642,0.02091103175540623,0.6365766545405149,0.005607435020312792,0.6053866038078098,0.04231101108660005,0.5992240975963181,0.04150867971748681,0.6333362139670962,0.038284075044641264,0.9930845407565287,0.004724197629746852,0.990946912773581,0.00588095786408459,0.9953317518755703,0.00363896816270571,0.9009253659241605,0.02071472922783516,0.8802447695648759,0.0223437787179502,0.9406281038381443,0.012316913943025637,0.44575379101807666,0.03595752136794622,0.7954042308145995,5.875686931915199,1,0.015560895557378971
openml,kr-vs-kp,3196,36,3196,36,2,"{'won': 1669, 'nowin': 1527}","{'binary': 35, 'categorical': 1}",0.95609741182482,0.004007192835137951,0.956586177208553,0.003500087038292117,0.9561741895378191,0.004665602293937798,0.94164699695039,0.006874859508109288,0.9420777340784096,0.006992958295470779,0.941354133280868,0.006799196351240841,0.5932109138616231,0.02081600800309484,0.7574369038975121,0.010673886606659952,0.6337946007608611,0.014375225897250259,0.8777561461653127,0.01483103181326372,0.8778649895159548,0.014790076659555444,0.877929433773214,0.014712129074928986,0.9899718422654565,0.0032228602202083695,0.9898814036723224,0.0032895111020535307,0.9901068792939632,0.0031345205089170504,0.9548103072538833,0.009742755770965788,0.9554315812733067,0.009333454296588738,0.9544475227223714,0.009968748916735437,0.3768194584250236,0.037982628788403805,0.6595295378023552,9.99078207844274,24,0.011881170908079544
openml,labor,57,16,57,16,2,"{'good': 37, 'bad': 20}","{'numeric': 8, 'categorical': 5, 'binary': 3}",0.7906636438466934,0.14861817219098575,0.8433712121212121,0.09471723268057755,0.8138888888888889,0.11286805363283359,0.7930059523809524,0.13666929478869255,0.8426767676767678,0.08037248441726136,0.8138888888888889,0.08797270901173955,0.8643535923141186,0.10649034994517573,0.9092171717171718,0.08243344469203946,0.8694444444444445,0.0883228505310258,0.8834215803546299,0.0906041776522637,0.8872023809523809,0.0822866882589514,0.8944444444444444,0.09509579315902049,0.8494794679005204,0.12035522232482188,0.8803030303030304,0.12335697041010825,0.8444444444444444,0.09622504486493762,0.685127674258109,0.1894044566846763,0.732187950937951,0.2452752744031071,0.7194444444444444,0.14537626786810584,0.6232638757760303,0.07426789141056436,0.654592038776665,13.431049732363707,11,0.005482456140350877
openml,arrhythmia,452,279,452,279,13,"{'8': 2, '6': 25, '10': 50, '1': 245, '7': 3, '14': 4, '3': 15, '16': 22, '2': 44, '4': 15, '5': 13, '9': 9, '15': 5}","{'numeric': 204, 'binary': 66, 'categorical': 9}",0.92994088727406,0.006504565649524424,0.9235575747994883,0.007336302795070008,0.9437374180441408,0.006864545104794361,0.8909177538301201,0.0082423719698592,0.8873628439058162,0.007659242639126571,0.9112547070110095,0.01005173581056824,0.7943820735615816,0.018355505472869293,0.8025215677049639,0.01727376590975171,0.8145540780414731,0.024179675580881327,0.8243594181014607,0.02299684793148988,0.8120316591977238,0.02472600604791268,0.8575756199915864,0.02285033010580438,0.9255745721306383,0.004999982679593498,0.9434782742606596,0.0018460318434958874,0.9169354921455761,0.007989158157698217,0.7810279794970483,0.01645355119179376,0.7796234284179498,0.01681141363960963,0.8359466350642821,0.014536758879221163,0.3631806955246113,0.039802886961518236,1.0000000000000002,39.26959169636012,38,0.012108668760110382
openml,letter,20000,16,20000,16,26,"{'Z': 734, 'P': 803, 'S': 748, 'H': 734, 'F': 775, 'N': 783, 'R': 758, 'M': 792, 'D': 805, 'V': 764, 'A': 789, 'K': 739, 'E': 768, 'O': 753, 'Q': 783, 'L': 761, 'X': 787, 'Y': 786, 'I': 755, 'W': 752, 'U': 813, 'T': 796, 'C': 736, 'G': 773, 'B': 766, 'J': 747}",{'numeric': 16},0.44402170116366857,0.038307133959393815,0.5595487346350646,0.014766339930469058,0.4420359727344965,0.04906809940034617,0.5145503207194084,0.00876985994404477,0.5905274772467644,0.010363538467721539,0.5513287891533747,0.0077552701808632765,0.6388123700845163,0.008337531190787294,0.6559971439043357,0.009661560998512921,0.642067081402414,0.006915909892362697,0.8535949851459332,0.006614864095426964,0.8575996730342629,0.00635494194688916,0.8538595183703205,0.006277345676464579,0.887000640965466,0.0036769663444193197,0.8903623047098896,0.003741175926697257,0.8862533892187203,0.0036561963633692197,0.7566665665737569,0.004482547890219171,0.7886113046332988,0.003931820882564865,0.7575573739067398,0.004842660824744443,0.6964221863827467,0.08694462040147102,0.8527926215631488,9.769487050748499,12,0.0065375
openml,audiology,226,69,226,69,24,"{'cochlear_age': 57, 'cochlear_age_and_noise': 22, 'cochlear_poss_noise': 20, 'mixed_cochlear_unk_fixation': 9, 'normal_ear': 22, 'mixed_cochlear_age_fixation': 2, 'cochlear_unknown': 48, 'mixed_cochlear_age_otitis_media': 4, 'acoustic_neuroma': 1, 'mixed_cochlear_unk_ser_om': 3, 'conductive_discontinuity': 2, 'retrocochlear_unknown': 2, 'conductive_fixation': 6, 'bells_palsy': 1, 'cochlear_noise_and_heredity': 2, 'mixed_poss_noise_om': 2, 'otitis_media': 4, 'possible_menieres': 8, 'possible_brainstem_disorder': 4, 'cochlear_age_plus_poss_menieres': 1, 'mixed_cochlear_age_s_om': 2, 'mixed_cochlear_unk_discontinuity': 2, 'mixed_poss_central_om': 1, 'poss_central': 1}","{'binary': 61, 'categorical': 8}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openml,autos,205,25,205,25,6,"{'3': 27, '1': 54, '2': 32, '0': 67, '-1': 22, '-2': 3}","{'numeric': 15, 'categorical': 6, 'binary': 4}",0.7377997704116595,0.05996882393149969,0.7503351972101974,0.061645258992326916,0.7559179280686634,0.043616866052814826,0.6799714435437475,0.03020078037446759,0.6759595728345729,0.034083182238472974,0.7115335236658765,0.02943012161559888,0.4887141167568799,0.04524391779907395,0.5431163876566175,0.0914489373463124,0.5177127100840336,0.03449583844733663,0.2958661680370334,0.06678782149991963,0.3215288334853552,0.05740273689773092,0.39136826204840913,0.04921026347101791,0.7911054306258214,0.04107651320764791,0.8516173115109716,0.03285940136864787,0.781649069884364,0.037554136771247186,0.4987533715812578,0.022680271234912196,0.5139886026874518,0.026782093780180167,0.5718715210443152,0.015784463525335718,0.5283675103623684,0.07223019323375075,0.9694567265344172,6.811208005577019,1,0.025799457994579948
openml,lymph,148,18,148,18,4,"{'malign_lymph': 61, 'fibrosis': 4, 'metastases': 81, 'normal': 2}","{'categorical': 6, 'binary': 9, 'numeric': 3}",0.8851126635775816,0.00948179654768955,0.8775135811900517,0.014506667559316924,0.9007068452380953,0.01120298295454343,0.8978288634963485,0.02362419836710319,0.8955044427191168,0.029339496910549694,0.9044642857142857,0.015479051933268897,0.8638346105889805,0.006135668388582705,0.8749005018674136,0.014033224040567654,0.8599330357142857,0.0039670718415337645,0.8867672656641076,0.012988317879026339,0.8959294269327165,0.018451429926164373,0.8911830357142857,0.007879443207849874,0.9268732265442303,0.01782844096528206,0.9344998751248751,0.020608721290308028,0.9224330357142857,0.017132292221815133,0.8713251352173472,0.013308390481167371,0.8712144289533996,0.020493871429424687,0.885453869047619,0.011156931402553619,0.5844457397186217,0.078053128676403,0.5914969158292407,14.517798797794436,11,0.0075075075075075074
openml,balance-scale,625,4,625,4,3,"{'B': 49, 'R': 288, 'L': 288}",{'numeric': 4},0.7097812023109537,0.07670773098385093,0.7305458400827419,0.10491511857134132,0.7174914297237346,0.06017424022545819,0.750901941839633,0.033182958759565076,0.7877657414474448,0.03265917152795833,0.7407199032062917,0.02996267534577788,0.6206423927134895,0.024771753434392498,0.6930754483662207,0.16212610655262255,0.6610405323653963,0.012162133901760682,0.878960425924638,0.027472655568160424,0.8667999739224668,0.025376512288214078,0.9047166767493445,0.03299988527204022,0.834330867528583,0.03504209960927738,0.8834872903425325,0.012780207841122753,0.8171607178866707,0.03754164115614127,0.757630287940023,0.02747107049679997,0.7549355521639917,0.02632401487060204,0.7653518854607783,0.027794114670699872,1.0000000000000002,0.03211269818294572,0.35558898922871157,4.0,4,0.0
openml,mfeat-factors,2000,216,2000,216,10,"{'1': 200, '2': 200, '3': 200, '4': 200, '5': 200, '6': 200, '7': 200, '8': 200, '9': 200, '10': 200}",{'numeric': 216},0.9784577982227851,0.0034134186527832416,0.9790551387741135,0.0033503117984166734,0.9785,0.003391164991562562,0.9785264000719177,0.004891474471839012,0.9791527849358552,0.00464450702949749,0.9785,0.004898979485566415,0.9243748800474819,0.009427100101640887,0.9277934002953738,0.00884658315827013,0.9244999999999999,0.009273618495495755,0.9278892832089156,0.019196711386300584,0.9305462330308976,0.01885572924411844,0.9279999999999999,0.019196353820452466,0.9623979598361527,0.006217590576655518,0.9638851378409548,0.005664377568770176,0.9624999999999998,0.00612372435695796,0.9383652479012895,0.011583806431431877,0.9402569209932115,0.011245313513276256,0.9385,0.011575836902790276,0.6003570698988067,0.11127646600110935,1.0,15.130280701793628,12,0.0017037037037037038
openml,breast-cancer,286,9,286,9,2,"{'recurrence-events': 85, 'no-recurrence-events': 201}","{'categorical': 6, 'binary': 3}",0.4969761782029537,0.07695099034612453,0.5193963499997982,0.061171680931809996,0.5243687230989957,0.07014774703762813,0.6078495222677145,0.05751901283243268,0.6194156618432638,0.042824380344101305,0.6368220946915353,0.046653308934067134,0.4410389692717058,0.056521154442362824,0.6113416969869385,0.03868421417489232,0.5780667144906743,0.02378836069205949,0.6424604668109367,0.06640533138721523,0.6480269749925671,0.07069240540112118,0.655670731707317,0.05540772736038516,0.6237984882442065,0.04938324277535563,0.6957175872382381,0.10143935992549709,0.6147668579626973,0.04279853741173514,0.6732309985104973,0.05132814397103034,0.6735514967828309,0.05214691568362206,0.6839921090387374,0.05059985723764649,0.45744703100786377,0.035296420157254205,0.7226979167992162,8.386980679319509,10,0.015458225984541774
openml,mfeat-fourier,2000,76,2000,76,10,"{'1': 200, '2': 200, '3': 200, '4': 200, '5': 200, '6': 200, '7': 200, '8': 200, '9': 200, '10': 200}",{'numeric': 76},0.7659660183006916,0.025048965618289194,0.7726959480309026,0.028013168164577728,0.7705,0.023632604596192954,0.7750357691859109,0.015125511832143383,0.776495951093189,0.017658610513814184,0.7835,0.013928388277184092,0.7664932916628271,0.01693745041442255,0.7747516202907132,0.018721273319024193,0.7669999999999999,0.01623268308074795,0.8182911831361418,0.010013802752290489,0.8213266402316102,0.009482800810971725,0.82,0.010723805294763654,0.8279020630285345,0.012863391759987672,0.8306348717193565,0.0143019652468237,0.829,0.012206555615733689,0.7759805262272688,0.01581177403202688,0.7814013135916333,0.015818649413227873,0.7819999999999998,0.013171939872319512,0.3073178528127766,0.057253791129320365,0.5477615921204366,21.494752933664692,50,0.004796052631578947
openml,breast-w,699,9,699,9,2,"{'benign': 458, 'malignant': 241}",{'numeric': 9},0.9177297856496756,0.027225258958066382,0.9179166710050151,0.019342815388703503,0.9224907856119036,0.0373242567453543,0.9585982880244627,0.0028625858095986533,0.9623002560148851,0.00850480751044726,0.955985797328965,0.004714540734092882,0.9563332469742747,0.006180187823577434,0.9506597117375334,0.007288478053848065,0.9635883784952108,0.0061380113267451315,0.9640133429061262,0.007749509813323953,0.9600470646454475,0.010075132241068359,0.9690470502582305,0.0061287689651040485,0.965191511714335,0.00647248970607833,0.9650200285323969,0.0070562318061280676,0.9662029611175574,0.010034132619748604,0.9718152331542882,0.007859061087827765,0.9682211156229806,0.011167111912511489,0.9764745864901144,0.0053779144342552924,0.8893918939062624,0.2657637260481103,0.9057802350267589,9.0,7,0.009855348911142902
openml,mfeat-karhunen,2000,64,2000,64,10,"{'1': 200, '2': 200, '3': 200, '4': 200, '5': 200, '6': 200, '7': 200, '8': 200, '9': 200, '10': 200}",{'numeric': 64},0.9245289612765999,0.020940664112072415,0.9262705741564595,0.020618217216964992,0.925,0.020432816741702553,0.9279259920998794,0.014600360014117235,0.9300711950879382,0.0134125238864046,0.9279999999999999,0.014696938456699052,0.9324318146566201,0.009965593152190883,0.9366693687148893,0.010008941348119294,0.932,0.009924716620639599,0.9457216015847315,0.013915597886295178,0.9473444907545601,0.012762219164044944,0.946,0.01356465996625062,0.9509830555215073,0.01009378462715894,0.9521633475795788,0.009840399049708752,0.951,0.009949874371066177,0.9310624316356035,0.011021233496279379,0.9332765860947191,0.010729176087230426,0.9315,0.010793516572461442,0.29467217552700775,0.04880271835690725,0.5043465458930922,22.7192249438571,36,0.0025625
